,Review_Title,Review_Text,Review_Rating,Sentiment,h,Num_Sentence,y_pred
13,Wonderful,"Pros - 
 1 . 5000mah battery 
 2 . big display 
 3 . G70 Processor 
 4 . rear camera 
 5 . great look budget phone 
 6 . easy yo holdgripin hand feel good . 
 Cons - 
 1 . average camera 3years old redmi y1 camera well C3S cam . 
 2 . face lock work properly night . 
 3 . afew bug . hope future update solve . 
 4 . display bright .",5,pos,0.92,16,0.9083000000000009
7,Terrific purchase,excellent,5,pos,0.92,1,0.9037000000000012
0,Brilliant,good mobile budget,5,neu,0.92,1,0.8986000000000007
18,Pretty good,"awesome phone price segment . 
 Pros- Battery , processor display good . 
 cons- camera quality poor . cover finger print sensor miss .",4,neu,0.91,4,0.8928999999999985
16,Mind-blowing purchase,"osm mobile realme , love .",5,pos,0.89,1,0.8871000000000002
19,Super!,"fabulous .. 
 review 1 day use ... 
 Camera 3.55 
 Battery 55 
 display 45 
 performance 55 
 Design body 4.55 
 good phone 7k 3gb,32 gb 
 thank realme .. 
 thank flipkart ... 
 pic click camera",5,pos,0.9,11,0.8868000000000004
4,Super!,nice mobile,5,neu,0.88,1,0.8834999999999998
2,Very Good,"RealMe C3   New Budget King 
 Initial Overview   Unboxing experience RealMe C3 . 

 update review week . read review . 

 order sale   14 - 02 - 2020 , deliver 16 - 02 - 2020 . fast delivery , kudo flipkart 

 Package content   1 u phone   charge Cable   Normal Charger   SIM Eject . tool   Guidebook . 

 tpu case include note . 

 good phone 
 1 . large display . 
 2 . tall proportion , easy hold despite big size . 
 3 . good brightness display 
 4 . Attractive Panel Design Plastic 
 5 . Dual Camera amazing result 
 6 . big Battery . take time charge go easily 2 day . 
 7 . powerful processor hand multi task like charm . 
 8 . price point , beat margin . 
 9 . Android 10 Box 

 good phone 
 1 . usb type c present . 
 2 . TPU Case 
 3 . IR blaster 
 4 . selfie camera well . 
 5 . need optimize processor work smoother bug reach potential 
 6 . Big Camera Bump 


 hope like detailed review RealMe C3 . 
 thumb .",4,pos,0.87,45,0.8785000000000005
15,Worth every penny,value,5,neu,0.87,1,0.8781000000000005
3,Must buy!,nice,5,pos,0.87,1,0.8774333333333338
1,Terrific,good performance price,5,pos,0.88,1,0.8747499999999999
5,Nice product,"good mobile price segment 
 performance - good pubg free fire 
 Battery - 2 day normal usage 
 Camera - not accept price 
 Flip card - deliver 7 day lol 


",4,pos,0.88,6,0.8735999999999996
6,Awesome,good,5,neu,0.87,1,0.8725750000000005
10,Just wow!,2 good,5,neu,0.88,1,0.8725750000000005
8,Worth every penny,good smartphone price sement .,5,pos,0.87,1,0.8690000000000002
12,Good choice,good phone ... camera good .. good 7k,4,neu,0.87,2,0.8676966666666673
9,Best in the market!,"real c3 good phone budget price   happy buy smartphone . 

 5 star feauture 
 light weight 
 good camera 
 build quality awesome",5,pos,0.85,5,0.8665999999999997
17,Very Good,"good battery 
 super design 
 good display 
 run smoothly",4,pos,0.85,2,0.8574166666666665
11,Value-for-money,"good smartphone . thank flipkart n realme .. 
 honestly review .. use daily basis .. 
 Battery 55 attach screenshot .. 
 display 54 
 Processor 54 
 Camera 54 
 Design 54 .",4,pos,0.85,6,0.8572499999999992
14,Terrific,good good gaming phone,5,pos,0.84,1,0.853866666666668
